feature,estimateparameter,estimate,activity,subjectid,mean(value)
tBodyAcc,X,mean(),LAYING,1,0.22159824394
tBodyAcc,X,mean(),LAYING,2,0.281373403958333
tBodyAcc,X,mean(),LAYING,3,0.275516852741935
tBodyAcc,X,mean(),LAYING,4,0.263559214981481
tBodyAcc,X,mean(),LAYING,5,0.278334325576923
tBodyAcc,X,mean(),LAYING,6,0.248656520140351
tBodyAcc,X,mean(),LAYING,7,0.250176694038462
tBodyAcc,X,mean(),LAYING,8,0.261254282907407
tBodyAcc,X,mean(),LAYING,9,0.2591955368
tBodyAcc,X,mean(),LAYING,10,0.280230574137931
tBodyAcc,X,mean(),LAYING,11,0.280592970877193
tBodyAcc,X,mean(),LAYING,12,0.260113433
tBodyAcc,X,mean(),LAYING,13,0.276716360483871
tBodyAcc,X,mean(),LAYING,14,0.233275439803922
tBodyAcc,X,mean(),LAYING,15,0.2894756525
tBodyAcc,X,mean(),LAYING,16,0.274227162571429
tBodyAcc,X,mean(),LAYING,17,0.269780085577465
tBodyAcc,X,mean(),LAYING,18,0.274691576923077
tBodyAcc,X,mean(),LAYING,19,0.272653733493976
tBodyAcc,X,mean(),LAYING,20,0.239507882205882
tBodyAcc,X,mean(),LAYING,21,0.271325472455556
tBodyAcc,X,mean(),LAYING,22,0.279959721194444
tBodyAcc,X,mean(),LAYING,23,0.274038007986111
tBodyAcc,X,mean(),LAYING,24,0.272850494930556
tBodyAcc,X,mean(),LAYING,25,0.250791828613699
tBodyAcc,X,mean(),LAYING,26,0.27164586454079
tBodyAcc,X,mean(),LAYING,27,0.274102492432432
tBodyAcc,X,mean(),LAYING,28,0.2759134825
tBodyAcc,X,mean(),LAYING,29,0.287295196811594
tBodyAcc,X,mean(),LAYING,30,0.281033900571429
tBodyAcc,X,mean(),SITTING,1,0.261237565425532
tBodyAcc,X,mean(),SITTING,2,0.277087351739131
tBodyAcc,X,mean(),SITTING,3,0.257197599134615
tBodyAcc,X,mean(),SITTING,4,0.27153827992
tBodyAcc,X,mean(),SITTING,5,0.273694139545455
tBodyAcc,X,mean(),SITTING,6,0.276778487454545
tBodyAcc,X,mean(),SITTING,7,0.284674637291667
